"","classroom","ac2","pb2","female","black","frl","sped","age","ac1","db1","cp1","pb1","er1","r.ac2","r.pb2"
"80",24,5,1.247352404,1,1,0,0,1.135553192,1.780645161,-0.209305471,-1.723502304,1.31795496,-1.288618381,0.182051198523911,0.234075400287497
"81",6,5,0.847352404,1,1,0,0,-1.030086781,1.780645161,-0.764861027,-2.152073733,1.51795496,-0.688618381,-0.212059316147067,-0.125340986907069
"82",86,3.2,-0.752647596,1,1,1,0,-0.392167547,-1.219354839,0.457361196,0.705069124,-0.88204504,-0.688618381,0.256956036258714,-0.0505231853655896
"83",27,2.8,0.247352404,1,1,1,0,-1.547540579,-0.019354839,-0.209305471,-0.866359447,-0.08204504,-0.288618381,-0.634009561084794,0.392045907473305
"84",107,3,-0.752647596,0,0,1,1,1.535279407,-1.019354839,1.568472307,0.847926267,-1.68204504,2.511381619,0.514318023467465,0.694713738506635
"85",73,3.6,0.447352404,0,1,0,0,-0.583817102,1.180645161,-0.431527693,-1.294930876,0.91795496,-0.688618381,-0.434509143796338,0.118518814956502
"86",49,5,1.047352404,0,1,0,0,1.529803705,1.780645161,-0.653749915,2.276497696,0.51795496,-0.288618381,0.771500541360536,0.944469846665668
"87",43,4.8,0.447352404,0,0,0,0,1.830967292,0.980645161,-0.431527693,1.99078341,-0.28204504,0.111381619,0.111852648086101,0.216720311599006
"88",41,2.4,0.047352404,0,1,1,0,1.516114451,-0.819354839,1.457361196,-0.00921659,-1.48204504,1.111381619,0.197611510175784,1.01852334258574
"89",37,2.8,-0.752647596,0,0,0,0,-1.796685001,-0.019354839,-0.653749915,0.847926267,-1.68204504,-0.888618381,-0.310833845339049,-0.348094479584066
"90",19,5,1.247352404,0,0,1,0,0.587983035,0.780645161,-0.431527693,-0.580645161,0.11795496,-0.888618381,0.176361934265924,0.254154713808577
"91",60,4.2,1.047352404,1,1,1,0,-1.692646671,-0.419354839,-0.764861027,1.133640553,0.11795496,-0.288618381,0.0692422859999325,-0.106999048077761
"92",38,3.4,1.247352404,0,1,0,1,1.647531289,0.580645161,-0.653749915,1.847926267,0.31795496,0.111381619,0.0879610876417391,0.478753289210114
"93",53,3.4,0.047352404,0,1,1,0,-0.917834898,1.380645161,-0.320416582,2.419354839,0.31795496,0.111381619,-0.679718345049008,-0.863916811370742
"94",34,4.4,1.247352404,1,1,0,0,-0.422283906,1.180645161,-0.764861027,-2.152073733,1.51795496,-1.288618381,0.13430087138038,0.113048964328475
"95",44,5,1.247352404,1,0,0,0,0.420974137,1.780645161,-0.209305471,2.133640553,0.51795496,-0.488618381,-0.0899540648247079,0.148524956881579
"96",43,4.8,-1.352647596,0,0,0,1,0.100645595,1.380645161,1.235138973,1.133640553,-1.28204504,1.111381619,0.0457247393112806,-0.809871535147849
"97",76,2.2,-0.352647596,0,1,1,0,0.289557299,-1.819354839,-0.09819436,2.562211982,-0.48204504,-0.288618381,0.272464077760942,-0.0705900829265569
"98",6,4.6,-0.952647596,0,1,1,0,0.034937176,0.380645161,1.012916751,-0.00921659,-0.88204504,1.711381619,0.937652255776215,0.137271610829097
"99",10,4.2,1.247352404,1,0,1,0,-1.895247629,-0.619354839,0.012916751,-0.00921659,0.91795496,-0.688618381,0.450370237406645,0.369783030992411
"100",15,3.6,-1.152647596,1,1,1,0,-1.777520045,-0.619354839,2.346250085,1.276497696,-0.88204504,1.111381619,0.371484810971654,0.0296848823006252
"101",73,1.4,-0.752647596,1,1,1,0,-0.50715728,-1.219354839,-0.09819436,0.705069124,0.31795496,-0.488618381,-0.838172359685429,-0.55339542089673
"102",49,4.8,-1.352647596,0,1,1,0,1.781685978,1.580645161,-0.09819436,1.847926267,-0.88204504,0.111381619,0.910390163537149,-0.475405796972
"103",1,4,1.047352404,1,1,1,0,1.565395766,0.780645161,-0.764861027,-1.437788018,1.31795496,-1.088618381,-0.150404797356344,0.425947176680259
"104",85,1,0.847352404,1,1,1,0,-0.167663783,-1.819354839,-0.653749915,1.276497696,1.51795496,-0.488618381,-1.04193066126841,-0.0257880141771792
"105",33,4,-1.752647596,0,1,1,0,1.351843404,1.380645161,1.012916751,-1.00921659,-0.68204504,-0.888618381,-0.287250676801314,-1.24620247781197
"106",41,4.8,1.047352404,0,0,1,0,1.527065855,1.780645161,-0.653749915,2.276497696,0.51795496,-0.288618381,0.16213869546558,0.129060421217469
"107",74,4,0.847352404,1,1,0,0,-0.091003961,0.580645161,-0.653749915,-1.437788018,1.51795496,-1.088618381,0.204935341119482,0.359106167009119
"108",82,2.8,-1.552647596,1,1,0,0,-1.421599443,0.380645161,0.012916751,-0.723502304,-0.68204504,-1.088618381,-0.515457781810344,-0.693123426824448
"109",22,4.4,1.047352404,1,1,1,0,2.140344431,-1.219354839,0.012916751,-0.152073733,-0.08204504,0.111381619,2.10472146871248,1.18293218387489
"110",43,4.8,0.047352404,1,0,1,0,0.900098024,1.580645161,0.790694529,1.419354839,-0.68204504,0.111381619,-0.424048364316174,-0.0521807483684817
"111",7,4.2,0.247352404,0,1,0,1,-0.143023126,-0.219354839,-0.431527693,-0.580645161,-0.08204504,-0.288618381,1.18042907603098,0.41355234157633
"112",9,4.6,0.247352404,1,1,1,0,-1.016397527,0.180645161,-0.320416582,-1.866359447,0.51795496,-0.488618381,0.269593848083275,-0.0908764372281187
"113",100,2.4,0.447352404,1,1,1,0,-0.504419429,-1.019354839,0.235138973,0.419354839,0.11795496,2.911381619,0.00672664793280309,0.63983650931926
"114",90,2.8,0.647352404,1,1,1,0,1.606463527,0.180645161,-0.764861027,-1.866359447,1.31795496,-1.288618381,-0.612321469066745,0.0633214262850306
"115",68,4,0.247352404,0,0,0,0,0.53596387,0.580645161,1.012916751,0.847926267,-0.88204504,2.711381619,-0.172555763034333,0.521309041949906
"116",25,3.8,1.247352404,1,1,0,0,-1.629676103,-0.419354839,-0.764861027,-1.723502304,1.31795496,-1.288618381,0.669683266347318,0.251599071513808
"117",39,4.8,1.247352404,1,1,1,0,0.021247922,0.980645161,0.679583418,1.276497696,0.31795496,0.311381619,0.49392509823942,0.512401052879392
"118",1,4,1.047352404,1,1,1,0,1.820015889,-0.219354839,-0.764861027,-0.866359447,0.31795496,-0.888618381,0.732899973929938,1.17000379712814
"119",13,3.2,1.247352404,0,0,0,0,-0.304556322,0.180645161,0.012916751,-1.866359447,1.51795496,-1.288618381,-0.364208088703123,0.212890879850245
"120",77,4,-0.352647596,1,1,0,0,1.078058326,1.380645161,0.346250085,-0.723502304,0.31795496,-0.088618381,-0.769802522885014,-1.05113238566833
"121",74,0.6,-1.152647596,0,1,0,0,-0.701544686,-2.219354839,-0.542638804,0.99078341,1.11795496,-1.288618381,-0.94457832173228,-1.12412719506181
"122",67,0.8,-3.152647596,1,1,1,0,0.117072699,-2.419354839,2.790694529,-0.723502304,-1.48204504,1.911381619,-0.475240980034622,-2.15793483392666
"123",76,5,0.847352404,1,1,1,0,0.013034369,1.780645161,0.124027862,-1.437788018,-0.08204504,0.111381619,0.185671981330366,0.57857010685666
"124",45,2.2,1.247352404,1,1,1,0,-1.424337294,-0.219354839,0.235138973,0.419354839,-0.08204504,0.511381619,-0.22209388049855,1.69930082426076
"125",13,5,0.447352404,0,1,0,0,-0.720709642,1.580645161,-0.653749915,-1.437788018,0.51795496,-1.288618381,0.720263445105948,0.100533203501555
"126",3,2.2,-1.752647596,0,1,1,0,0.998660653,-0.219354839,1.235138973,0.133640553,-0.88204504,1.111381619,-0.623904552944525,-0.602440131633108
"127",45,5,1.047352404,1,1,1,0,-1.09853305,0.780645161,-0.209305471,2.276497696,0.71795496,0.511381619,1.75527754980606,0.89299670465328
"128",48,2.8,-1.352647596,0,0,0,1,1.924054219,-0.619354839,0.790694529,0.133640553,-1.08204504,1.111381619,0.073870256219712,-0.521894504715693
"129",27,4.2,-0.152647596,0,1,0,0,-1.213522783,0.780645161,-0.431527693,-1.437788018,0.51795496,0.111381619,0.207663942402195,-0.324078011053835
"130",86,3.4,-0.352647596,0,1,1,0,-0.170401633,-0.819354839,-0.209305471,-0.580645161,-0.68204504,-0.888618381,0.237982082079998,0.255500189378765
"131",78,5,1.047352404,1,1,1,1,0.420974137,-0.219354839,0.012916751,-0.723502304,-0.28204504,-0.688618381,1.20081696692332,1.03719005163736
"132",21,4.8,1.247352404,1,1,1,0,0.218373178,-1.819354839,-0.764861027,-1.152073733,1.51795496,-0.288618381,2.4116534089059,0.244452059452921
"133",60,5,1.047352404,0,1,1,0,-1.353153173,1.580645161,-0.653749915,2.276497696,0.31795496,-0.288618381,-0.531016091987785,-0.331115484227976
"134",91,0.2,-0.352647596,0,1,1,1,1.622890632,-2.619354839,0.568472307,1.562211982,0.51795496,0.911381619,-0.789356917464456,-0.635129281399699
"135",72,5,1.247352404,1,1,0,0,-0.277177814,0.780645161,-0.431527693,-0.866359447,-0.68204504,-1.088618381,0.642344077231986,1.1774546728808
"136",31,3.2,0.647352404,1,1,1,0,1.050679818,0.180645161,0.124027862,-0.437788018,0.51795496,-0.488618381,-0.246582280487365,0.725612098161901
"137",31,3.4,0.847352404,0,1,0,0,0.481206854,0.380645161,-0.764861027,-1.866359447,1.11795496,-1.288618381,-0.214012689032986,0.490906892073701
"138",80,4.8,1.047352404,0,1,1,0,1.78989953,1.780645161,-0.209305471,-1.437788018,1.31795496,-0.088618381,0.391962376305133,0.315248302889824
"139",65,2,-0.952647596,1,1,0,0,-0.835699375,-1.219354839,-0.320416582,0.419354839,-0.88204504,0.111381619,-0.499797204572419,-0.0302881993684469
"140",52,3.4,-0.352647596,0,0,0,0,-0.381216144,-0.219354839,0.124027862,0.276497696,-1.28204504,-0.088618381,-0.0604478836990999,-0.419574072914938
"141",78,2.8,-2.152647596,0,1,0,0,0.158140461,-1.019354839,0.568472307,1.133640553,-1.48204504,0.511381619,-0.297591320098395,-1.16005819239143
"142",43,2.4,-0.152647596,0,1,0,0,0.303246553,-1.019354839,0.012916751,0.133640553,-1.28204504,-0.288618381,-0.505213230015375,0.549241622072968
"143",80,2.2,0.847352404,0,1,1,0,1.910364965,-0.219354839,-0.542638804,-0.437788018,0.71795496,-0.688618381,-0.637451943963883,0.573409197644001
"144",91,0.6,-1.752647596,0,1,1,0,1.447668182,-2.019354839,1.012916751,0.99078341,-2.08204504,2.911381619,-0.670035266306371,-0.19643368594521
"145",72,4.8,-1.152647596,0,1,0,0,-0.266226411,0.780645161,1.124027862,-1.00921659,-1.28204504,2.711381619,0.699761385806608,-0.224587204599732
"146",83,3,-0.552647596,0,1,0,0,-1.621462551,-0.219354839,-0.653749915,-0.294930876,-0.08204504,-0.888618381,0.091361664682402,-0.185600148994894
"147",16,3.8,-1.952647596,1,1,1,0,1.543492959,0.380645161,1.790694529,0.276497696,-0.68204504,0.511381619,-0.0299572982574182,-0.85489699690967
"148",71,2.4,-1.352647596,1,1,0,0,-1.476356459,-2.219354839,2.124027862,1.705069124,-2.08204504,2.711381619,0.589332739222293,0.331674800360428
"149",76,4.2,-0.952647596,1,1,1,0,0.128024102,0.580645161,0.235138973,0.133640553,-1.08204504,-0.088618381,0.412101563116732,-0.527357327745723
"150",45,5,1.247352404,1,0,1,0,-1.498259265,1.780645161,-0.320416582,2.276497696,0.71795496,0.511381619,0.755936253300741,0.821577062639092
"151",58,2,1.247352404,1,1,1,0,0.067791385,-2.419354839,-0.764861027,0.133640553,0.51795496,-0.288618381,0.330313736474518,0.347854941401495
"152",93,4.2,-0.152647596,0,0,0,0,-1.136862961,-0.019354839,-0.542638804,-1.00921659,1.11795496,0.111381619,0.463100485496476,0.156656714959618
"153",47,4.6,0.247352404,0,0,0,1,-1.114960155,-0.619354839,-0.320416582,0.562211982,-1.08204504,-0.088618381,1.56180689364078,0.321849509102411
"154",84,0.6,-1.752647596,0,1,1,0,-0.822010121,-3.219354839,1.457361196,2.705069124,-1.88204504,1.311381619,0.217081330906094,0.19110717325923
"155",64,5,1.047352404,1,1,0,0,-1.175192872,0.780645161,-0.209305471,1.99078341,0.51795496,0.711381619,0.270370607428339,-0.13925954545728
