classroom,ac2,pb2,female,black,frl,sped,age,ac1,db1,cp1,pb1,er1,r.ac2,r.pb2
73,2.2,-0.152647596,1,1,1,0,-0.811058718,-0.219354839,0.235138973,-1.00921659,0.31795496,-0.488618381,-0.810382064,-0.025789243
95,2,-1.552647596,0,0,0,0,-1.851442017,-2.619354839,0.679583418,0.562211982,-0.88204504,-0.088618381,0.244031372,-0.409699404
81,3.8,-0.152647596,1,1,0,0,-1.804898553,0.580645161,-0.653749915,-1.437788018,1.31795496,-1.288618381,0.054903838,-0.690524775
67,2.4,-0.952647596,0,1,1,0,0.53596387,-0.619354839,0.568472307,0.419354839,-1.48204504,0.311381619,-0.132941107,-0.263074786
24,2,-1.352647596,1,1,1,0,2.085587415,1.780645161,0.568472307,-0.866359447,-1.08204504,0.111381619,-2.462562984,-0.633943598
62,3.8,0.247352404,1,1,1,0,1.40660042,-0.219354839,0.012916751,0.847926267,-0.48204504,0.311381619,0.715856992,0.025887038
81,3,-0.152647596,1,1,0,0,-1.695384522,-0.819354839,-0.653749915,-0.723502304,1.31795496,-0.888618381,0.324080113,-0.520084386
102,4.8,-1.152647596,0,0,0,0,1.02330131,0.380645161,1.012916751,0.276497696,-1.08204504,1.711381619,0.887620721,-0.129729075
3,2.2,1.047352404,1,1,1,0,0.974019996,0.180645161,-0.653749915,-1.152073733,0.11795496,-1.288618381,-1.20756594,1.12267082
9,4.4,0.047352404,1,1,0,0,-1.706335925,0.180645161,-0.209305471,-1.437788018,-0.08204504,-0.088618381,0.113513699,0.121162813
49,2,-0.752647596,0,1,0,1,2.293664075,-0.619354839,-0.653749915,0.847926267,-0.48204504,-0.088618381,-0.125120053,0.073888611
9,4.2,-0.752647596,0,1,1,0,-1.788471449,-0.419354839,0.012916751,-0.437788018,-0.68204504,-0.088618381,0.558887151,-0.163193506
79,5,0.647352404,0,1,1,0,1.494211645,0.780645161,-0.209305471,-1.294930876,0.31795496,-0.288618381,0.945471099,0.112542693
21,4.8,1.247352404,0,1,1,0,0.615361543,1.780645161,-0.764861027,-2.00921659,1.51795496,-0.288618381,-0.178607666,0.029467113
76,4.2,0.847352404,1,1,0,0,0.371692822,0.180645161,-0.320416582,0.133640553,0.11795496,-1.288618381,0.544881513,0.366482548
88,5,1.247352404,1,1,1,0,0.15540261,-0.219354839,-0.09819436,-0.723502304,0.11795496,0.111381619,0.821020843,0.926390488
89,3.6,0.647352404,1,1,1,0,0.336100762,0.380645161,0.012916751,-1.00921659,0.71795496,-0.888618381,-0.02337762,0.108877153
33,3.2,-0.752647596,0,1,0,0,2.145820133,-1.019354839,0.012916751,0.133640553,-1.88204504,-0.488618381,0.884740691,0.758607755
